,Title,Company/Location,Description
102,Systems Administrator,cgi group remote fairfax va 22032,certificationsdo valid aws certified solution architect associate certification yesnoskillsdo experience vpn yesnoeducationdo master degree yesno job detailshere job detail align yearjob locationfairfax va 22032benefitspulled full job descriptionflexible scheduleprofit sharingfull job description system administrator position description cgi federal among largest business consulting firm world member cgi federal opportunity participate major transformation initiative become shareholder strong organization spanning 40 country looking challenge stretch talent grows skill take digital transformation next level cgi great place reach full potential thanks training opportunity mentoring coaching well ongoing recognition feedback program help grow career network benefit include share purchase plan program wellness credit flexible schedule promote excellent balance cgi federal seeking system administrator brings information technology operation administration skill team administer support cloud based client environment candidate within 50 mile radius cgi federal office fairfax va baltimore md report office 2 day per week future duty responsibility deploy configure maintain aws service including ec2 s3 rds vpc iam cloudformation etc monitor system performance troubleshoot issue implement solution ensure high availability reliability provide general system administration support collaborate team implement scalable solution network administration security stay date aws best practice new feature conduct research perform routine system backup disaster recovery planning system upgrade technical documentation required qualification successful role bachelor degree master degree computer science mathematics stem related discipline effective problem solver multitasker uncommon wear multiple hat one day looking someone solid foundation microsoft environment strong understanding aws service architecture experience scripting language python bash powershell strong understanding troubleshooting basic network concept vlans firewall vpn dns dhcp routing experience server network endpoint security desirable skill database vmware citrix bonus individual capable independent work comfortable collaborative team setting strong analytical skill posse excellent interpersonal skill including ability work diverse personality type ability effectively communicate verbally written customer team member management must able work independently team environment exceptional attention detail required must dedicated role punctual completely dependable aws certified sysops administrator aws certified solution architect associate plus desired skill aws service rhel splunk sccm mysql citrix scripting cgi required law jurisdiction include reasonable estimate compensation range role determination range includes various factor limited skill set level experience training licensure certification cgi typically hire individual near top range role compensation decision dependent fact circumstance case reasonable estimate current range cgifederaljob hs dice insight act technology heart client digital transformation understand people heart business success join cgi become trusted advisor collaborating colleague client bring forward actionable insight deliver meaningful sustainable outcome call employee member cgi shareholder owner owner enjoy working growing together build company proud dream since 1976 brought u today one world largest independent provider business consulting service cgi recognize richness diversity brings strive create work culture belong collaborate client building inclusive community employer want empower member succeed grow require accommodation point recruitment process please let u know happy assist ready become part success story join cgi idea action make difference qualified applicant receive consideration employment without regard race ethnicity ancestry color sex religion creed age national origin citizenship status disability pregnancy medical condition military veteran status marital status sexual orientation perceived sexual orientation gender gender identity gender expression familial status political affiliation genetic information height weight legally protected status characteristic cgi provides reasonable accommodation qualified individual disability need accommodation apply job please email cgi employment compliance mailbox need reference position id position interested message routed appropriate recruiter assist please note email address used individual need accommodation apply job email reason include position id returned make easy translate military experience skill click directed site dedicated veteran transitioning service member cgi offer employment contingent upon ability successfully complete background investigation background investigation component vary dependent upon specific assignment level u government security clearance held cgi consider employment qualified applicant arrest conviction record accordance local regulation ordinance cgi discharge manner discriminate employee applicant inquired discussed disclosed pay pay another employee applicant however employee access compensation information employee applicant part essential job function disclose pay employee applicant individual otherwise access compensation information unless disclosure response formal complaint charge b furtherance investigation proceeding hearing action including investigation conducted employer c consistent cgi legal duty furnish information
103,Helpdesk Associate,usa phone voip systemscherry hill nj 08003 greentree area,skillsdo experience software troubleshooting yesno location1790 marlton pike e cherry hill nj 08003full job description become part award winning service technical department role devote time helpdesk support duty field incoming request help desk via telephone ensure courteous timely effective resolution end user pertinent end user identification information including name department contact information nature problem issue preform level 1 level 2 troubleshooting customer request issue escalate problem needed appropriately experienced technician
104,Junior Network Administrator,ferrillihaddonfield nj 08033,skillsdo experience sonicwall yesnoeducationdo bachelor degree yesno locationhaddonfield nj 08033full job description ferrilli committed driving positive change higher education revolutionary power technology mission foster student success maximizing potential technology campus comprehensive holistic approach provide unwavering support service consulting optimizing existing technology infrastructure implementing solution help client achieve goal position summary solution currently search adept network administrator join managed service team role primarily involves remote service delivery occasional visit necessary network administrator responsible diverse set task project include limited following responsibility manage client relationship via direct communication stakeholder manage execute various project task ensure seamless network operation conduct monthly review log alert provide prompt issue remediation setup monitor environment via tool like pulsway kaseya rocket cyber datto edr microsoft intune offer expert escalation support centralized client helpdesk system install configure fault tolerance solution optimal network reliability install configure update maintain switch router firewall network hardware maintain update meraki switch firewall well sonicwall extreme switch install configure update maintain server physical virtual troubleshoot rectify performance availability issue ensure network efficiency assist client planning new server storage resource allocation implement manage enterprise backup plan solution safeguard data collaborate closely security team remediate issue fulfill security initiative handle task related active directory user group group policy dns dhcp qualification year network experience enterprise environment bachelor degree higher relevant field exceptional written verbal communication skill strong organizational prioritization ability preferred microsoft certification demonstrate specialized expertise prior experience consulting managed service showcasing valuable skill set please note position requires onsite haddonfield five day week
105,Information Technology - IT Project Analyst,talentburst duarte ca 91010,skillsdo experience financial software yesnoeducationdo bachelor degree yesno job detailshere job detail align hourjob typecontractshift schedulemonday friday locationduarte ca 91010full job descriptioninformation technology project analyst duarte ca job description project analyst connecthope program play crucial role reviewing analyzing developing project financials position requires proactive individual efficiently gather information forecast monthly expense fy24 ensure accurate reconciliation source document role following responsibility review analyze develop project financials connecthope program guidance manager planning control gather information forecast remaining monthly expense fy24 ensuring accuracy reliability financial projection reconcile financial data appropriate source document maintain comprehensive work paper document assumption transparency audit purpose calculate accrual execute expense transfer adherence established financial procedure demonstrate strong understanding capitalization rule comply corporate accounting capitalization guideline prepare presentation material connecthope financial forecast various meeting providing clear concise information stakeholder collaborate closely connecthope program manager manager planning control align financial strategy project objective qualification year experience financial analyst similar role preferably project financial management excellent analytical skill strong understanding financial principle accounting regulation ability meet deadline work efficiently minimal supervision excellent communication presentation skill proficient financial software microsoft office particularly excel ability work collaboratively environment minimum education bachelor degree preferred location 100 remote schedule
106,Director of Information Security,metlife stadiumeast rutherford nj 07073,skillsdo experience siem yesno job detailshere job detail align yearjob scheduleweekends needednight shiftevening shiftday shiftmonday fridayholidays location1 metlife stadium dr east rutherford nj 07073benefitspulled full job description401 k 401 k matchingdental insuranceemployee assistance programemployee discountflexible spending accounthealth insuranceshow morechevron downfull job descriptionjob title director information security report vice president stadium technology department information technology classification exempt job overview director information security primarily responsible providing leadership including operational tactical direction regarding information security matter director information security assist vp stadium technology define execute organization information security program comprising information security governance risk management compliance key responsibility key responsibility director information security include limited following analyzes technology establishes process procedure protocol prevent unauthorized access company network system data assist team installing administering troubleshooting network security solution develop vulnerability patch management process assist team systematically ensure vulnerability addressed based criticality risk impact business resource assist team configuring supporting security recovery tool edr siem cmdb etc ensures company information security program complies applicable nfl regulatory requirement privacy law pci hipaa gdpr etc facilitates audit review penetration test risk assessment lead project inception successful completion assist department training stay abreast security industry threat landscape specifically within professional sport general professional football particular qualification perform job successfully individual must able perform essential duty satisfactorily ideal candidate would year experience information security role advanced degree certificate computer science cyber security networking related field preferred required strong understanding knowledge computer network security system subject matter expertise information security governance risk management compliance demonstrate solid organizational skill ability prioritize workload delegate responsibility effectively manage stress constantly changing environment demonstrate excellent judgment ability make quick decision think outside box working complex situation posse high level integrity trustworthiness confidence represents company highest level professionalism demonstrate strong analytical skill effectively interprets applies applicable regulation requirement experience knowledge familiarity common security framework microsoft active directory cloud computing 365 azure aws network security architecture siem id firewall solution data loss prevention experience information security control governance risk management compliance work environment employee required work day night weekend holiday due unique stadium schedule noise level work environment usually moderate however event noise level may loud pay commensurate experience reasonable accommodation may made enable individual disability perform essential function job job type pay per year benefit 401 k 401 k matching dental insurance employee assistance program employee discount flexible spending account health insurance health saving account paid time parental leave professional development assistance tuition reimbursement vision insurance compensation package bonus opportunity experience level 5 year schedule day shift evening shift holiday monday friday night shift weekend needed experience information security 5 year required ability commute east rutherford nj 07073 preferred ability relocate east rutherford nj 07073 relocate starting work required work location person
107,Creative Technology Support Associate,runway airemote,skillsdo experience zendesk yesno locationremotefull job description runway research company pioneering new tool human imagination runway forefront ai system ensuring future content creation accessible controllable empowering creatives runway mission ensure anyone anywhere tell story believe deep learning technique applied audiovisual content forever change art creativity design tool runway leading shift generative medium unlocking unprecedented level creative potential invention camera 200 year ago forever changed world ai new kind camera reshape storytelling forever lead full feature film entirely generated role building tool make content creation easy accessible type creatives user love runway actively engaged growing community passionate artist creator worldwide growing support team ensure continue provide delightful experience user every day support role look like runway glad asked foundation role spending time queue answering ticket range billing issue technical bug content moderation question never dull day runway queue also much believe empowering people work push forward goal runway also excites personal level help grow person depending interested many different project pursue like creating zendesk automation beefing help center name support experience worry sure support lifelong passion worry sure want career worry ton passion hunger learn great runway approach support role opportunity contribute foundational team also opportunity learn everything product user operate choose adventure looking looking fast learning individual hunger knowledge passion tech creativity ai self starter someone tinker tool system learns get excited work complex problem also thoughtful empathetic excellent communication skill high standard excellence oh like rest runway team move incredibly fast love consider applicant background support experience needed new recent grad encouraged apply directly respond request new experienced runway user via email chat investigate escalate problem report product billing transaction appropriate team collaborate engineering resolve customer issue reported bug sense urgency engage product team translate customer feedback actionable product update improvement author maintain internal knowledge base documentation monitor request feedback member runway community public discord server continually focus improving customer support process scale operation need strong motivation grow high rate learning high bar excellence excellent communication documentation ability thrive autonomous environment minimal supervision get thing done enjoy working autonomously empathetically teammate empowering supporting user nice experience providing customer support email phone chat extra point saas b2b setting get excited troubleshooting platform deep understanding 3rd party integration analyzing event log connection error using browser developer tool etc demonstrable experience documenting bug report feature request partnering engineering ensure resolution experience common internal tool like zendesk sentry datadog notion etc experience working creative tool adobe final cut pro creative ai tool runway midjourney etc note location open remote candidate based canada interested hybrid work office new york city san francisco runway strives recruit retain exceptional talent diverse background ensuring pay equity team salary range based competitive market rate size stage industry salary one part overall compensation package provide many factor go salary determination including relevant experience skill level qualification assessed interview process maintaining internal equity peer team range shared general expectation function posted also open considering candidate may le experienced outlined job description case communicate update expected salary range lastly provided range expected salary candidate outside region may change range communicated candidate salary range working runway great thing come great team love hear committed creating space employee bring full self work equal opportunity succeed regardless race gender identity expression sexual orientation religion origin ability age veteran status joining mission speaks encourage apply runway runway research runway ai film festival creative dialogue series runway studio behavior company mission raised 141 million extension series c excited recognized best place work crain inhersight builtin nyc inc
108,Desktop Support ( Entry Level ),impact consulting solution pa 15205,skillsdo experience io yesnoeducationdo high school diploma ged yesno job detailshere job detail align 25 27 hourjob schedule8 hour shiftmonday friday location300 cedar ridge drive pittsburgh pa 15205benefitspulled full job descriptionhealth insurancefull job descriptionjob duty build install pc telephone system wireless network peripheral device printer scanner phone related desktop infrastructure accordance department standard imaging provides advice guidance colleague regarding incident maintain installed pc network telephone system peripheral routine maintenance identify log resolve technical problem software application network system job type contract temporary pay per hour benefit health insurance schedule 8 hour shift monday friday education high school equivalent preferred experience window 1 year preferred io 1 year preferred work location person
109,IT Specialist,ethos cannabisremote,specialist responsible supporting variety project across company cannabis dispensary location include multiple location pennsylvania massachusetts maryland position work closely information technology manager supporting initiative ethos working problem may intermittent difficult resolve building strong ethical culture ethos cannabis looking position help lead implement vision seeking passionate driven collaborative specialist support company technology initiative maximize ethos cannabis sale margin profit ideal candidate ability adapt business model ability work work environment previous cannabis experience plus required however candidate familiarity comfort cannabis looking proven performer able willing handle new duty learn new technology
110,Technology Support Technician,university north carolina chapel hillchapel hill nc 27599,skillsdo experience window yesnoeducationdo high school diploma ged yesno job detailshere job detail align yearjob schedulemonday friday locationchapel hill nc 27599benefitspulled full job descriptionhealth insurancepaid time offretirement planfull job description posting information department asod information career area information technology internal recruitment posting open date application deadline position type permanent staff shra position title technology support technician journey salary grade equivalent it01 working title technology support technician position number 20062820 vacancy id p018833 permanent estimated duration appointment hour per week 40 work schedule monday friday 4 day site 1 wfh work location chapel hill nc position location north carolina u hiring range pay band information learn pay band branch role please see career banding rate spreadsheet position summary information tar heel global higher education leader innovative teaching research public service university north carolina chapel hill consistently rank one nation top public university known beautiful campus medical care commitment art top athletic program carolina ideal place teach work learn one best college town best place live united state chapel hill diverse social cultural recreation professional opportunity span campus community university employee choose wide range professional training opportunity career growth skill development lifelong learning enjoy exclusive perk numerous retail restaurant performing art discount saving local child care center special rate select campus event hill offer employee comprehensive benefit package paid leave variety health life retirement plan additional program support healthy balance primary purpose organizational unit unc adam school dentistry office computing information system provides information technology support faculty staff student unc adam school dentistry position summary technology support technician position provides consultation support training user computer information system well support hardware software operating system networking position requires strong working knowledge understanding wide variety technology effectively support user technical need position interacts broad range user requires strong communication skill ability use variety technical resource providing technical support position provides support broad range technology use throughout school dentistry significant portion time devoted support specific technology unique orthodontics department need minimum education experience requirement graduation high school one year field technology related position role computer coursework may substituted year required experience equivalent combination education experience journey level requires additional six month experience advanced level requires additional one year experience required qualification competency experience ability configure maintain window apple laptop desktop according established standard operating procedure ability install patch maintain application software analyze troubleshoot hardware application software issue respond customer request technical support timely efficient manner able work independently minimal direct supervision must excel oral written communication preferred qualification competency experience experience working database technology sql access familiarity window server o active directory experience working strict security framework hippa pci required special requirement campus security authority responsibility applicable requirement
111,0999 - Information Technology - IT Tech,forman millspennsauken nj 08110,skillsdo experience wan yesno job detailshere job detail align location1070 thomas busch memorial hwy pennsauken nj 08110benefitspulled full job description401 k 401 k matchingad insurancedental insurancedisability insuranceemployee assistance programemployee discountshow morechevron downfull job descriptionas one america regional retail company forman mill constantly seeking best brightest talent drive continued growth company passion excellence unwavering focus delivering value customer drive best forman mill springboard incredible career growth help desk analyst title help desk analyst level status location pennsauken nj help desk analyst provides level 1 2 technical assistance support point sale po system merchant system store corporate dc peripheral hardware software ensure minimal service interruption customer business partner position responds query stage new equipment handle planning shipping equipment support back office software resolve technical issue job responsibility responds service request via telephone email instant messaging communication mechanism prioritizes schedule request issue incident collaborates subject matter expert facilitate quick resolve track service request incident closure including problem solving process decision action resolution identifies report compliance issue require follow investigation risk assessment provides local remote system administration support maintenance configuration triage resolve problem tier 2 level account creation network support ass determines issue need escalated monitor store corporate network review failure list provides troubleshooting assessment prior escalation coordinate implement standard recurring coding change allocation system change requested business quickly address escalate project issue support resolution owns oversees triaging resolution open ticket associated store corporate system circuit application hardware support installation troubleshooting application operating system patch hardware platform installs configures computer system installs po system hardware software identifies cause issue incident diagnosis hardware software failure resolve technical problem performs technical duty assigned must provide carry cell phone available technical assistance support hour beyond normal hour business operation knowledge skill must positive attitude highly eagerness learn new skill set apply towards project team success ability work independently team environment meet project deliverable deadline working knowledge experience hardware peripheral service delivery system remote user networking tcp ip etc operating system support intermediate knowledge environment telecommunication intermediate knowledge microsoft active directory exchange intermediate knowledge remote access tool logmein dameware microsoft office application strong service skill ability effectively communicate maintaining positive relationship person especially phone store must detail oriented able coordinate manage multiple task effective analytical skill investigative organizational project management skill effective written verbal communication presentation skill ability express complex technical concept business term across level business ability understand prioritization deliverable ability collaborate within team across business unit supporting overall organization need merchandising operation finance human resource distribution ability apply expertise everyday issue minimal direction prioritizing effectively ability perform wide variety task break complex process simpler part analysis improvement minimum 2 year relevant retail experience huge plus experience using service desk ticketing system plus intermediate technical certification plus tech benefit offer eligible associate training employee assistance program 401 k plan employer match potential advancement generous employee discount competitive starting salary health insurance dental insurance vision insurance short term disability insurance life ad insurance paid vacation paid sick leave holiday pay direct community involvement opportunity
112,Help Desk Technician,western district texasremote texas,skillsdo experience io yesno job detailshere job detail align yearjob locationtexasbenefitspulled full job description401 k 401 k matchingdental insuranceemployee assistance programflexible scheduleflexible spending accounthealth insuranceshow morechevron downfull job description position overview position help desk technician job number usdc close march 15 2024 salary cl 26 based qualification experience location location remote position travel opportunity san antonio texas office information technology united state district court united state probation office united state pretrial service office western district texas currently seeking qualified application position help desk technician help desk technician responsible fielding help desk call email support ticket interaction end user via phone email chat support ticket person communication position requires use headset microphone fully remote office position required periodic travel headquarters office san antonio tx responsibility deliver exceptional technical customer service support internal customer automated call distribution acd via live chat remote desktop control internet interact internal customer provide process information response inquiry concern request related service offered information technology department gather information determine technical issue experienced evaluating analyzing symptom accurately create process update issue transaction using computer designated tracking software research required information resolution using available resource identify escalate priority issue per handbook guideline diagnose resolve technical hardware software issue identified tier one level support microsoft office guidance network connectivity troubleshooting offer alternative solution appropriate objective customer training prevent recurring incident enter update open ticket make scheduled call back internal customer necessary stay current system information change update duty assigned qualification preferred qualification must least two full year specialized experience following working service desk environment related support product service experience microsoft operating system microsoft 365 experience troubleshooting external device using various microsoft operating system experience basic installation removal application using various microsoft operating system experience working device achiever gain satisfaction providing excellent customer service oriented support exemplary attendance punctuality strong listening business phone etiquette skill ability effectively work others high pressure situation using appropriate interpersonal style method reduce tension conflict ability speak write clearly accurately professional manner demonstrated proficiency typing grammar ability effectively must able work shift hour 7 cst 7 pm cst management final discretion schedule based business need preferred qualification extensive experience providing tier one tier two technical support call center environment exposure basic user security group active directory administration file service printer scanner device technology workspace etc technical certification education considered plus application procedure application procedure qualified candidate may apply submitting cover letter include job listed detailed resume court info job current employment opportunity online application incomplete submission may considered united state court reserve right modify condition job announcement withdraw announcement may occur without prior written notice one position may filled posting event position becomes vacant similar classification within reasonable time original announcement court unit executive may elect select candidate applicant responded original announcement without posting position court authorized reimburse travel expense interview relocation position subject mandatory electronic direct deposit salary payment applicant requirement condition applicant must citizen must lawful permanent resident green card holder seeking citizenship applicant scheduled interview advise human resource staff accommodation needed applicant advised false statement omission information application material may ground withdrawal offer employment dismissal employed employee court serve excepted appointment considered employee except probation officer may removed cause employee hired provisionally pending result background investigation employee required adhere code conduct judicial employee available review upon request qualified candidate invited personal interview condition listed may applicable united state district court equal opportunity employer federal judiciary provides generous benefit package includes retirement benefit federal employes retirement system fers basic benefit plan thrift saving plan tsp 401k styled program 5 government match social security paid vacation sick leave 11 paid federal government holiday optional benefit health dental vision life care insurance option flexible benefit program offering medical care dependent care parking reimbursement employee assistance program flexible work schedule telework depending location position gym depending location additional information regarding benefit go http
113,Systems Engineer,nsi americacedar rapid ia 52401,skillsdo experience vcenter yesno job detailshere job detail align 45 55 hourjob typetemporarycontractshift schedule8 hour shift locationcedar rapid ia 52401full job descriptionjob title system engineer job location cedar rapid ia usa 52401 employment type temporary estimated duration week 14 active directory red hat sharepoint vmware position description system engineer role design install administer optimize server related component achieve high performance various business application supported city cedar rapid includes local remote solution ensuring availability application configuring new implementation developing process procedure ongoing management server environment applicable system engineer assist overseeing physical security integrity safety data environment system engineer play key role providing creative dynamic solution variety need client city maintains highly available environment requiring coordination local department providing critical service division city staff must display highest level professionalism teamwork flexibility essential duty responsibilitiesthe intent job description provide representative summary major duty responsibility performed incumbent job employee may requested perform task specifically presented description collaborate city management leader ass virtualization capacity need financially sound solution develop strategy service implementation architect infrastructure required support strategy act project lead design review new service application hardware conduct capacity planning needed lead coordinate participate key process improvement relate server environment coordinate collaborate network engineering business application database administration function ensure availability reliability scalability server cloud service meet business demand collaborate implement policy procedure technology ensure service security compliance develop implement maintain policy procedure associated training plan system administration usage disaster recovery check service desk database incident service request prioritize respond ticket appropriate within stated slas serve cornerstone escalating server issue provide timely response customer escalation define document best practice procedure implementation maintenance environment perform file system configuration management define perform server backup recovery procedure plan implement strategy disaster recovery business continuity solution within environment plan implement server upgrade software upgrade maintenance fix patch coordinate effort system engineer application team provide web administration support overseeing maintaining web server function assuring logging metric data stable monitor test system performance provide performance statistic report stay current security related trend make recommendation based research create shell script required manage enterprise directory service supporting server infrastructure manage service provide integration support service define implement strategy integrating disparate operating environment recommend execute modification server environment improve efficiency reliability performance develop server documentation maintain training material manage provide guidance junior member team perform service security audit backup recovery troubleshooting esx issue related storage network performance issue advanced knowledge following window server active directory redhat sharepoint m team moderate advanced knowledge following technology including pure storage nimble storage dell server required beneficial familiar veeam experience installing configuring maintaining manner server hardware associated network equipment including scsi raid topology experience server performance tuning monitoring tool excellent hardware troubleshooting experience ability follow city change management policy ability work ticket city service desk ticketing system detail working technical knowledge scripting code using vbscript command shell powershell related tool good understanding organization goal objective knowledge applicable data privacy practice law required desired skill university degree computer science related file 5 7 year equivalent work experience required 7 year microsoft certified professional higher required 4 year vmware certification required 4 year least five year equivalent work experience senior technical analytical position responsible managing server environment required 5 year experience implementing new esx cluster migrating cluster decommissioning host updating vmware tool building new vcenter required 5 year minimum entrance qualification university degree computer science related file 5 7 year equivalent work experience microsoft certified professional higher vmware certification competency successful performance job dutiesknowledge least five year equivalent work experience senior technical analytical position responsible managing server environment moderate advanced knowledge vmware experience implementing new esx cluster migrating cluster decommissioning host updating vmware tool building new vcenter good understanding organization goal objective knowledge applicable data privacy practice law required desired skill university degree computer science related file 5 7 year equivalent work experience required 7 year microsoft certified professional higher required 4 year vmware certification required 4 year least five year equivalent work experience senior technical analytical position responsible managing server environment required 5 year experience implementing new esx cluster migrating cluster decommissioning host updating vmware tool building new vcenter required 5 year troubleshooting esx issue related storage network performance issue required 5 year advanced knowledge following window server active directory redhat sharepoint m team required 5 year moderate advanced knowledge following technology including pure storage nimble storage dell server required 5 year experience installing configuring maintaining manner server hardware associated network equipment including scsi raid required 5 year experience server performance tuning monitoring tool required 5 year excellent hardware troubleshooting experience required 5 year working technical knowledge scripting code using vbscript command shell powershell related tool required 5 year job type contract temporary salary per hour experience level 5 year 7 year schedule 8 hour shift application question email microsoft certified professional vmware certification total experience system engineer mention year work location person
114,L3 Systems-Network Support Engineer,rwk servicesfrankfort il 60423,certificationsdo valid mcse certification yesnoskillsdo experience window yesnoeducationdo bachelor degree yesno job detailshere job detail align yearjob schedulemonday friday location9645 lincolnway ln frankfort il 60423benefitspulled full job description401 k 401 k matchingdental insurancehealth insurancepaid time offvision insurancefull job descriptionare highly motivated leader team ready next challenge feel like hit ceiling job enjoy leading team professional consistently delivering quality service customer ready shake daily grind start making real impact well reading good may opportunity looking rwk service service company feed technology demand network need small medium sized business chicagoland market partner look u assistance installing integrating configuring maintaining solution help moving business forward technology well protecting environment cyber security expertise come keep reading get better looking candidate strong knowledge microsoft 365 azure environment skill set expand encompass service management security aspect along integration cloud service infrastructure ideal candidate strong network system administration background passion staying date latest technology industry best practice great communication skill engineer expected meticulous attention detail outstanding skill work comfortably pressure deliver tight deadline little u rwk provides managed service company computer team always available help problem occur customer keep working sleep better knowing information business identity network secure protected sometimes require emotional intelligence analyze customer need act quickly fulfill customer issue working often complex escalation must expect unexpected following attribute excel position proven level 3 support engineer msp experience intrigued root cause issue pursue real resolution motivated learning want work company invest education growth outstanding communication skill work effectively end user practitioner good habit efficient time entry client communication pursuit efficiency want join supportive dynamic team engineer enjoy flexible work schedule allow traveling partner location 50 time chicagoland surrounding area enjoy working environment let talk want work yes benefit yes retirement plan today market nearly everyone set success initial training utilize proven process support collaborative environment every day competitive salary range reserved right candidate learn interview process hybrid position require weekly visit client office location frankfort il required technical experience skill minimum 6 year experience system network administration meraki microsoft window server active directory dhcp dns ldap radius np powershell scripting directory synchronization microsoft 365 azure familiarity cloud platform azure plus microsoft 365 exchange online entra conditional access policy amazon web service ec2 management rds management vpc management microsoft defender management microsoft endpoint manager proficiency networking protocol including dns dhcp vpn strong experience firewall configuration management preferred technical experience skill bachelor degree computer science related field industry certification ccna ccnp mcse comptia equivalent comptia equivalent excellent skill attention detail strong written verbal communication teamwork skill connectwise manage automate experience experience msp environment ability think outside box attitude come introducing idea tireless positive attitude growth mindset view challenge learning opportunity failure put others shoe see situation perspective want work place team make difference impact benefit perk competitive annual salary based skill experience great benefit health dental vision insurance 401k matching 15 pto day 7 paid holiday hybrid schedule great reputation long term partner fun rewarding environment supportive team behind service department superior office team culture rwk service rwk service professional service consulting firm empowers organization better bring human element demystify technology deliver solution simple complex providing voice table business serve business need provide solution balance specialize managed outsourced service business cloud service cyber security expertise three discipline creates synergy improved solution client core value positive attitude team player attention detail desire improve job type pay per year benefit 401 k 401 k matching dental insurance health insurance paid time vision insurance schedule monday friday experience customer service 5 year preferred azure 3 year required meraki 6 year required microsoft window server 6 year required work location person
115,Help Desk Technician,oak integrated caremount holly nj,skillsdo experience window yesnoeducationdo associate degree yesno job detailshere job detail align schedulemonday fridayon call locationmount holly njbenefitspulled full job descriptiondental insurancehealth insuranceretirement planvision insurancefull job description join team today immerse rewarding career year come help desk technician work within department located mt holly nj schedule one 1 hour unpaid lunch responsibility installs configures responds customer call software hardware peripheral data network device troubleshoots repair network connectivity issue update hardware inventory including spare part replaces remove old equipment develops maintains technical documentation responsible 24x7 support ensures customer kept informed call ticket status problem resolution benefit competitive base salary medical dental insurance vision plan retirement plan flexible spending plan excellent time benefit qualified position opportunity personal career growth environment practice fish philosophy qualification associate degree least two year experience computer support troubleshooting must high level responsibility dependability excellent communication skill knowledge basic network principle peer peer networking knowledge window novell server environment proficient m office suite valid driver license position require valid driver license good standing drug screening oak integrated care considers applicant position without regard race color religion sex national origin age sexual orientation marital veteran status presence medical condition genetic information handicap unrelated performing task job legally protected status
